Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	ShiftX(mm)	ShiftY(mm)	ShiftZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 18:06:40.445	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.459	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.828	0	-0.56	-0.427	0.183	-0.061							-1.5	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.474	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	1.607	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.535	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.747	-0.657	-0.041	0	0	0.061							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.551	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.828	0	-0.56	-0.366	0.183	0							-1.5	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.564	f9:a2:89:42:44:2c	2015-01-01 02:11:43.460	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.579	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.827	0	-0.559	-0.366	0.183	0							-1.5	67.126	132.825	102.200	21.900	39.000	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.654	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.684	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.700	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.700	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.828	0	-0.56	-0.427	0.183	0							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.42947	-0.35367	-0.8093	0.18808	
 18:06:40.714	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.760	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.465	-0.827	0	-0.559	-0.366	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:40.775	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.400	20.300	-1.780	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.789	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.56	-0.427	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:40.820	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.56	-0.366	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:40.865	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.879	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:40.895	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.925	f9:a2:89:42:44:2c	2015-01-01 02:11:43.820	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:40.940	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	-0.001	-0.559	-0.427	0.183	-0.061							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:40.984	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.030	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.56	-0.427	0.244	0							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:41.030	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.559	-0.427	0.183	0							-1.5	67.126	132.825	101.700	22.500	41.053	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:41.045	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.04	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.060	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.828	0	-0.56	-0.427	0.183	-0.061							-1.5	67.126	132.825	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18808	
 18:06:41.105	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.041	0	0	0.061							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.135	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-41.400	18.700	-0.480	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.149	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.827	0	-0.56	-0.427	0.183	0							-1.5	67.126	132.825	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.166	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.041	0	0	0.061							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
