Time (seconds),Time (steps),Velocity (rad/s)
0.6263999999999994,87,1.408
0.6335999999999994,88,1.388
0.6407999999999994,89,1.368
0.6479999999999994,90,1.346
0.6551999999999993,91,1.323
0.6623999999999993,92,1.298
0.6695999999999993,93,1.273
0.6767999999999993,94,1.246
0.6839999999999993,95,1.218
0.6911999999999993,96,1.188
0.6983999999999992,97,1.156
0.7055999999999992,98,1.124
0.7127999999999992,99,1.089
0.7199999999999992,100,1.053
0.7271999999999992,101,1.014
0.7343999999999992,102,0.974
0.7415999999999991,103,0.932
0.7487999999999991,104,0.887
0.7559999999999991,105,0.841
0.7631999999999991,106,0.79
0.7703999999999991,107,0.739
0.7775999999999991,108,0.685
0.784799999999999,109,0.627
0.791999999999999,110,0.567
0.799199999999999,111,0.504
0.806399999999999,112,0.439
0.813599999999999,113,0.369
0.820799999999999,114,0.297
0.827999999999999,115,0.221
0.8351999999999989,116,0.142
0.8423999999999989,117,0.058
0.8495999999999989,118,-0.029
0.8567999999999989,119,-0.119
0.8639999999999989,120,-0.213
0.8711999999999989,121,-0.311
0.8783999999999988,122,-0.413
0.8855999999999988,123,-0.518
0.8927999999999988,124,-0.627
0.8999999999999988,125,-0.738
0.9071999999999988,126,-0.854
0.9143999999999988,127,-0.973
0.9215999999999988,128,-1.094
0.9287999999999987,129,-1.218
0.9359999999999987,130,-1.344
0.9431999999999987,131,-1.472
0.9503999999999987,132,-1.6
0.9575999999999987,133,-1.73
0.9647999999999987,134,-1.859
0.9719999999999986,135,-1.987
0.9791999999999986,136,-2.114
0.9863999999999986,137,-2.239
0.9935999999999986,138,-2.361
1.0007999999999986,139,-2.48
1.0079999999999987,140,-2.594
1.0151999999999988,141,-2.704
1.0223999999999989,142,-2.809
1.029599999999999,143,-2.906
1.036799999999999,144,-2.997
1.0439999999999992,145,-3.081
1.0511999999999992,146,-3.159
1.0583999999999993,147,-3.228
1.0655999999999994,148,-3.287
1.0727999999999995,149,-3.34
1.0799999999999996,150,-3.384
1.0871999999999997,151,-3.42
1.0943999999999998,152,-3.45
1.1016,153,-3.47
1.1088,154,-3.483
1.116,155,-3.49
1.1232000000000002,156,-3.486
1.1304000000000003,157,-3.48
1.1376000000000004,158,-3.467
1.1448000000000005,159,-3.448
1.1520000000000006,160,-3.424
1.1592000000000007,161,-3.395
1.1664000000000008,162,-3.362
1.1736000000000009,163,-3.324
1.180800000000001,164,-3.281
1.188000000000001,165,-3.238
1.1952000000000012,166,-3.193
1.2024000000000012,167,-3.142
1.2096000000000013,168,-3.091
1.2168000000000014,169,-3.038
1.2240000000000015,170,-2.985
1.2312000000000016,171,-2.929
1.2384000000000017,172,-2.872
1.2456000000000018,173,-2.816
1.252800000000002,174,-2.759
1.260000000000002,175,-2.701
1.267200000000002,176,-2.645
1.2744000000000022,177,-2.586
1.2816000000000023,178,-2.529
1.2888000000000024,179,-2.474
1.2960000000000025,180,-2.417
1.3032000000000026,181,-2.36
1.3104000000000027,182,-2.304
1.3176000000000028,183,-2.25
1.3248000000000029,184,-2.196
1.332000000000003,185,-2.144
1.339200000000003,186,-2.092
1.3464000000000031,187,-2.039
1.3536000000000032,188,-1.989
1.3608000000000033,189,-1.941
1.3680000000000034,190,-1.892
1.3752000000000035,191,-1.844
1.3824000000000036,192,-1.799
1.3896000000000037,193,-1.752
1.3968000000000038,194,-1.707
1.404000000000004,195,-1.663
1.411200000000004,196,-1.621
1.418400000000004,197,-1.578
1.4256000000000042,198,-1.538
1.4328000000000043,199,-1.497
1.4400000000000044,200,-1.459
1.4472000000000045,201,-1.42
1.4544000000000046,202,-1.383
1.4616000000000047,203,-1.346
1.4688000000000048,204,-1.31
1.4760000000000049,205,-1.276
1.483200000000005,206,-1.241
1.490400000000005,207,-1.208
1.4976000000000051,208,-1.175
1.5048000000000052,209,-1.143
1.5120000000000053,210,-1.111
1.5192000000000054,211,-1.08
1.5264000000000055,212,-1.051
1.5336000000000056,213,-1.021
1.5408000000000057,214,-0.993
1.5480000000000058,215,-0.964
1.555200000000006,216,-0.938
1.562400000000006,217,-0.91
1.569600000000006,218,-0.884
1.5768000000000062,219,-0.857
1.5840000000000063,220,-0.833
1.5912000000000064,221,-0.807
1.5984000000000065,222,-0.783
1.6056000000000066,223,-0.759
1.6128000000000067,224,-0.736
1.6200000000000068,225,-0.712
1.6272000000000069,226,-0.69
1.634400000000007,227,-0.668
1.641600000000007,228,-0.646
1.6488000000000071,229,-0.624
1.6560000000000072,230,-0.603
1.6632000000000073,231,-0.582
1.6704000000000074,232,-0.561
1.6776000000000075,233,-0.541
1.6848000000000076,234,-0.521
1.6920000000000077,235,-0.501
1.6992000000000078,236,-0.482
1.706400000000008,237,-0.463
1.713600000000008,238,-0.444
1.720800000000008,239,-0.426
1.7280000000000082,240,-0.408
1.7352000000000083,241,-0.389
1.7424000000000084,242,-0.371
1.7496000000000085,243,-0.354
1.7568000000000086,244,-0.336
1.7640000000000087,245,-0.319
1.7712000000000088,246,-0.302
1.7784000000000089,247,-0.285
1.785600000000009,248,-0.268
1.792800000000009,249,-0.251
1.8000000000000091,250,-0.235
1.8072000000000092,251,-0.219
1.8144000000000093,252,-0.202
1.8216000000000094,253,-0.186
1.8288000000000095,254,-0.17
1.8360000000000096,255,-0.154
1.8432000000000097,256,-0.138
1.8504000000000098,257,-0.123
1.85760000000001,258,-0.107
1.86480000000001,259,-0.091
1.87200000000001,260,-0.076
1.8792000000000102,261,-0.061
1.8864000000000103,262,-0.045
1.8936000000000104,263,-0.03
1.9008000000000105,264,-0.015
1.9080000000000106,265,0
1.9152000000000107,266,0.015
1.9224000000000108,267,0.03
1.9296000000000109,268,0.045
1.936800000000011,269,0.06
1.944000000000011,270,0.075
1.9512000000000111,271,0.09
1.9584000000000112,272,0.105
1.9656000000000113,273,0.12
1.9728000000000114,274,0.135
1.9800000000000115,275,0.15
1.9872000000000116,276,0.165
1.9944000000000117,277,0.179
2.001600000000012,278,0.194
2.008800000000012,279,0.209
2.016000000000012,280,0.224
2.023200000000012,281,0.238
2.030400000000012,282,0.253
2.0376000000000123,283,0.268
2.0448000000000124,284,0.283
2.0520000000000125,285,0.298
2.0592000000000126,286,0.313
2.0664000000000127,287,0.328
2.0736000000000128,288,0.342
2.080800000000013,289,0.357
2.088000000000013,290,0.372
2.095200000000013,291,0.387
2.102400000000013,292,0.402
2.1096000000000132,293,0.417
2.1168000000000133,294,0.432
2.1240000000000134,295,0.447
2.1312000000000135,296,0.462
2.1384000000000136,297,0.477
2.1456000000000137,298,0.492
2.152800000000014,299,0.507
2.160000000000014,300,0.522
2.167200000000014,301,0.537
2.174400000000014,302,0.552
2.181600000000014,303,0.567
2.1888000000000143,304,0.582
2.1960000000000144,305,0.597
2.2032000000000145,306,0.612
2.2104000000000146,307,0.627
2.2176000000000147,308,0.642
2.2248000000000148,309,0.657
2.232000000000015,310,0.671
2.239200000000015,311,0.687
2.246400000000015,312,0.702
2.253600000000015,313,0.717
2.2608000000000152,314,0.732
2.2680000000000153,315,0.747
2.2752000000000154,316,0.762
2.2824000000000155,317,0.776
2.2896000000000156,318,0.791
2.2968000000000157,319,0.806
2.304000000000016,320,0.82
2.311200000000016,321,0.835
2.318400000000016,322,0.85
2.325600000000016,323,0.864
2.332800000000016,324,0.879
2.3400000000000163,325,0.894
2.3472000000000164,326,0.908
2.3544000000000165,327,0.922
2.3616000000000166,328,0.937
2.3688000000000167,329,0.951
2.3760000000000168,330,0.966
2.383200000000017,331,0.979
2.390400000000017,332,0.994
2.397600000000017,333,1.008
2.404800000000017,334,1.021
2.4120000000000172,335,1.035
2.4192000000000173,336,1.049
2.4264000000000174,337,1.063
2.4336000000000175,338,1.077
2.4408000000000176,339,1.09
2.4480000000000177,340,1.103
2.455200000000018,341,1.116
2.462400000000018,342,1.13
2.469600000000018,343,1.143
2.476800000000018,344,1.155
2.484000000000018,345,1.168
2.4912000000000183,346,1.181
2.4984000000000184,347,1.194
2.5056000000000185,348,1.205
2.5128000000000186,349,1.219
2.5200000000000187,350,1.231
2.5272000000000188,351,1.242
2.534400000000019,352,1.254
2.541600000000019,353,1.266
2.548800000000019,354,1.278
2.556000000000019,355,1.289
2.5632000000000192,356,1.302
2.5704000000000193,357,1.312
2.5776000000000194,358,1.323
2.5848000000000195,359,1.335
2.5920000000000196,360,1.346
