Time (seconds),Time (steps),Torque (N·m)
0.8639999999999989,120,795.151
0.8711999999999989,121,1241.216
0.8783999999999988,122,1725.841
0.8855999999999988,123,2250.023
0.8927999999999988,124,2809.03
0.8999999999999988,125,3404.448
0.9071999999999988,126,4035.898
0.9143999999999988,127,4699.509
0.9215999999999988,128,5390.001
0.9287999999999987,129,6093.038
0.9359999999999987,130,6809.165
0.9431999999999987,131,7529.936
0.9503999999999987,132,8232.818
0.9575999999999987,133,8920.487
0.9647999999999987,134,9567.779
0.9719999999999986,135,10167.715
0.9791999999999986,136,10702.757
0.9863999999999986,137,11173.527
0.9935999999999986,138,11548.424
1.0007999999999986,139,11835.783
1.0079999999999987,140,12002.694
1.0151999999999988,141,12072.179
1.0223999999999989,142,12020.561
1.029599999999999,143,11843.518
1.036799999999999,144,11567.335
1.0439999999999992,145,11159.241
1.0511999999999992,146,10686.573
1.0583999999999993,147,10100.115
1.0655999999999994,148,9422.376
1.0727999999999995,149,8704.677
1.0799999999999996,150,7922.171
1.0871999999999997,151,7117.285
1.0943999999999998,152,6302.002
1.1016,153,5445.321
1.1088,154,4622.554
1.116,155,3824.728
1.1232000000000002,156,3013.967
1.1304000000000003,157,2269.284
1.1376000000000004,158,1568.52
1.1448000000000005,159,913.357
1.1520000000000006,160,301.564
1.1592000000000007,161,-260.815
1.1664000000000008,162,-755.086
1.1736000000000009,163,-1209.973
1.180800000000001,164,-1623.179
1.188000000000001,165,-1969.816
1.1952000000000012,166,-2264.249
1.2024000000000012,167,-2525.925
1.2096000000000013,168,-2729.484
1.2168000000000014,169,-2911.598
1.2240000000000015,170,-3035.171
1.2312000000000016,171,-3144.029
1.2384000000000017,172,-3227.01
1.2456000000000018,173,-3276.254
1.252800000000002,174,-3299.573
1.260000000000002,175,-3306.915
1.267200000000002,176,-3289.651
1.2744000000000022,177,-3274.764
1.2816000000000023,178,-3234.394
1.2888000000000024,179,-3165.618
1.2960000000000025,180,-3112.58
1.3032000000000026,181,-3057.367
1.3104000000000027,182,-2985.806
1.3176000000000028,183,-2905.847
1.3248000000000029,184,-2832.129
1.332000000000003,185,-2739.446
1.339200000000003,186,-2651.64
1.3464000000000031,187,-2584.343
1.3536000000000032,188,-2496.501
1.3608000000000033,189,-2400.412
1.3680000000000034,190,-2320.444
1.3752000000000035,191,-2250.585
1.3824000000000036,192,-2154.296
1.3896000000000037,193,-2082.83
1.3968000000000038,194,-2012.84
1.404000000000004,195,-1934.762
1.411200000000004,196,-1848.643
1.418400000000004,197,-1792.798
1.4256000000000042,198,-1714.415
1.4328000000000043,199,-1651.125
1.4400000000000044,200,-1582.97
1.4472000000000045,201,-1526.3
1.4544000000000046,202,-1466.438
1.4616000000000047,203,-1410.378
1.4688000000000048,204,-1355.289
1.4760000000000049,205,-1290.127
1.483200000000005,206,-1247.911
1.490400000000005,207,-1191.977
1.4976000000000051,208,-1141.339
1.5048000000000052,209,-1095.97
1.5120000000000053,210,-1057.271
1.5192000000000054,211,-1018.309
1.5264000000000055,212,-968.87
1.5336000000000056,213,-937.063
1.5408000000000057,214,-898.056
1.5480000000000058,215,-864.722
1.555200000000006,216,-821.875
1.562400000000006,217,-796.504
1.569600000000006,218,-755.982
1.5768000000000062,219,-732.334
1.5840000000000063,220,-696.73
1.5912000000000064,221,-672.551
1.5984000000000065,222,-643.178
1.6056000000000066,223,-617.18
1.6128000000000067,224,-585.566
1.6200000000000068,225,-563.958
1.6272000000000069,226,-538.501
1.634400000000007,227,-516.369
1.641600000000007,228,-495.331
1.6488000000000071,229,-468.713
1.6560000000000072,230,-451.817
1.6632000000000073,231,-425.9
1.6704000000000074,232,-408.404
1.6776000000000075,233,-388.645
1.6848000000000076,234,-371.35
1.6920000000000077,235,-353.064
1.6992000000000078,236,-334.223
1.706400000000008,237,-316.976
1.713600000000008,238,-299.216
1.720800000000008,239,-279.357
1.7280000000000082,240,-263.089
1.7352000000000083,241,-249.403
1.7424000000000084,242,-231.449
1.7496000000000085,243,-217.14
1.7568000000000086,244,-202.161
1.7640000000000087,245,-187.848
1.7712000000000088,246,-174.222
1.7784000000000089,247,-160.546
1.785600000000009,248,-146.386
1.792800000000009,249,-132.684
1.8000000000000091,250,-118.445
1.8072000000000092,251,-103.894
1.8144000000000093,252,-91.818
1.8216000000000094,253,-78.784
1.8288000000000095,254,-66.711
1.8360000000000096,255,-53.35
1.8432000000000097,256,-41.721
1.8504000000000098,257,-29.034
1.85760000000001,258,-17.077
1.86480000000001,259,-4.808
1.87200000000001,260,6.81
1.8792000000000102,261,18.463
1.8864000000000103,262,30.373
1.8936000000000104,263,41.732
1.9008000000000105,264,53.246
1.9080000000000106,265,64.451
1.9152000000000107,266,75.525
1.9224000000000108,267,86.78
1.9296000000000109,268,97.62
1.936800000000011,269,108.873
1.944000000000011,270,119.605
1.9512000000000111,271,130.505
1.9584000000000112,272,141.023
1.9656000000000113,273,151.422
1.9728000000000114,274,162.374
1.9800000000000115,275,172.735
1.9872000000000116,276,181.848
1.9944000000000117,277,192.252
2.001600000000012,278,203.525
2.008800000000012,279,212.976
2.016000000000012,280,222.127
2.023200000000012,281,232.909
2.030400000000012,282,243.424
2.0376000000000123,283,252.021
2.0448000000000124,284,262.776
2.0520000000000125,285,269.641
2.0592000000000126,286,278.221
2.0664000000000127,287,289.485
2.0736000000000128,288,298.534
2.080800000000013,289,305.753
2.088000000000013,290,313.583
2.095200000000013,291,326.142
2.102400000000013,292,333.547
2.1096000000000132,293,341.232
2.1168000000000133,294,350.65
2.1240000000000134,295,355.016
2.1312000000000135,296,364.962
2.1384000000000136,297,370.485
2.1456000000000137,298,375.9
2.152800000000014,299,386.677
2.160000000000014,300,394.502
2.167200000000014,301,401.218
2.174400000000014,302,404.79
2.181600000000014,303,410.661
2.1888000000000143,304,416.309
2.1960000000000144,305,422.873
2.2032000000000145,306,429.799
2.2104000000000146,307,431.977
2.2176000000000147,308,432.763
2.2248000000000148,309,442.022
2.232000000000015,310,446.152
2.239200000000015,311,444.172
2.246400000000015,312,445.662
2.253600000000015,313,450.99
2.2608000000000152,314,450.027
2.2680000000000153,315,451.651
2.2752000000000154,316,452.707
2.2824000000000155,317,453.499
2.2896000000000156,318,461.673
2.2968000000000157,319,460.021
2.304000000000016,320,457.657
2.311200000000016,321,454.921
2.318400000000016,322,451.971
2.325600000000016,323,453.416
2.332800000000016,324,451.768
2.3400000000000163,325,441.456
2.3472000000000164,326,441.5
2.3544000000000165,327,442.331
2.3616000000000166,328,435.757
2.3688000000000167,329,431.901
2.3760000000000168,330,416.714
2.383200000000017,331,415.65
2.390400000000017,332,402.758
2.397600000000017,333,398.082
2.404800000000017,334,393.444
2.4120000000000172,335,380.631
2.4192000000000173,336,368.036
2.4264000000000174,337,363.769
2.4336000000000175,338,348.168
2.4408000000000176,339,338.28
2.4480000000000177,340,332.938
2.455200000000018,341,320.873
2.462400000000018,342,299.045
2.469600000000018,343,283.971
2.476800000000018,344,277.174
2.484000000000018,345,263.262
2.4912000000000183,346,239.185
2.4984000000000184,347,222.879
2.5056000000000185,348,217.906
2.5128000000000186,349,188.703
2.5200000000000187,350,170.765
2.5272000000000188,351,162
2.534400000000019,352,146.036
2.541600000000019,353,125.76
2.548800000000019,354,101.863
2.556000000000019,355,85.884
2.5632000000000192,356,51.678
2.5704000000000193,357,43.321
2.5776000000000194,358,17.727
2.5848000000000195,359,-15.184
2.5920000000000196,360,-31.011
