Time (seconds),Time (steps),Acceleration (rad/s²)
1.1304000000000003,157,1.466
1.1376000000000004,158,2.277
1.1448000000000005,159,3.032
1.1520000000000006,160,3.728
1.1592000000000007,161,4.365
1.1664000000000008,162,4.941
1.1736000000000009,163,5.455
1.180800000000001,164,5.913
1.188000000000001,165,6.318
1.1952000000000012,166,6.674
1.2024000000000012,167,6.973
1.2096000000000013,168,7.23
1.2168000000000014,169,7.444
1.2240000000000015,170,7.617
1.2312000000000016,171,7.755
1.2384000000000017,172,7.859
1.2456000000000018,173,7.931
1.252800000000002,174,7.978
1.260000000000002,175,7.996
1.267200000000002,176,7.996
1.2744000000000022,177,7.969
1.2816000000000023,178,7.929
1.2888000000000024,179,7.875
1.2960000000000025,180,7.803
1.3032000000000026,181,7.721
1.3104000000000027,182,7.624
1.3176000000000028,183,7.526
1.3248000000000029,184,7.417
1.332000000000003,185,7.303
1.339200000000003,186,7.184
1.3464000000000031,187,7.054
1.3536000000000032,188,6.929
1.3608000000000033,189,6.804
1.3680000000000034,190,6.672
1.3752000000000035,191,6.536
1.3824000000000036,192,6.408
1.3896000000000037,193,6.274
1.3968000000000038,194,6.138
1.404000000000004,195,6.009
1.411200000000004,196,5.882
1.418400000000004,197,5.749
1.4256000000000042,198,5.626
1.4328000000000043,199,5.501
1.4400000000000044,200,5.38
1.4472000000000045,201,5.258
1.4544000000000046,202,5.142
1.4616000000000047,203,5.026
1.4688000000000048,204,4.915
1.4760000000000049,205,4.809
1.483200000000005,206,4.699
1.490400000000005,207,4.596
1.4976000000000051,208,4.496
1.5048000000000052,209,4.399
1.5120000000000053,210,4.3
1.5192000000000054,211,4.206
1.5264000000000055,212,4.12
1.5336000000000056,213,4.03
1.5408000000000057,214,3.946
1.5480000000000058,215,3.863
1.555200000000006,216,3.787
1.562400000000006,217,3.707
1.569600000000006,218,3.636
1.5768000000000062,219,3.561
1.5840000000000063,220,3.494
1.5912000000000064,221,3.425
1.5984000000000065,222,3.361
1.6056000000000066,223,3.298
1.6128000000000067,224,3.24
1.6200000000000068,225,3.181
1.6272000000000069,226,3.125
1.634400000000007,227,3.071
1.641600000000007,228,3.018
1.6488000000000071,229,2.97
1.6560000000000072,230,2.919
1.6632000000000073,231,2.875
1.6704000000000074,232,2.829
1.6776000000000075,233,2.787
1.6848000000000076,234,2.745
1.6920000000000077,235,2.705
1.6992000000000078,236,2.668
1.706400000000008,237,2.631
1.713600000000008,238,2.596
1.720800000000008,239,2.565
1.7280000000000082,240,2.533
1.7352000000000083,241,2.502
1.7424000000000084,242,2.474
1.7496000000000085,243,2.445
1.7568000000000086,244,2.419
1.7640000000000087,245,2.393
1.7712000000000088,246,2.369
1.7784000000000089,247,2.346
1.785600000000009,248,2.324
1.792800000000009,249,2.303
1.8000000000000091,250,2.284
1.8072000000000092,251,2.267
1.8144000000000093,252,2.248
1.8216000000000094,253,2.232
1.8288000000000095,254,2.216
1.8360000000000096,255,2.202
1.8432000000000097,256,2.187
1.8504000000000098,257,2.175
1.85760000000001,258,2.163
1.86480000000001,259,2.152
1.87200000000001,260,2.141
1.8792000000000102,261,2.131
1.8864000000000103,262,2.123
1.8936000000000104,263,2.114
1.9008000000000105,264,2.108
1.9080000000000106,265,2.1
1.9152000000000107,266,2.095
1.9224000000000108,267,2.087
1.9296000000000109,268,2.083
1.936800000000011,269,2.077
1.944000000000011,270,2.074
1.9512000000000111,271,2.07
1.9584000000000112,272,2.067
1.9656000000000113,273,2.065
1.9728000000000114,274,2.062
1.9800000000000115,275,2.06
1.9872000000000116,276,2.06
1.9944000000000117,277,2.059
2.001600000000012,278,2.057
2.008800000000012,279,2.057
2.016000000000012,280,2.058
2.023200000000012,281,2.057
2.030400000000012,282,2.057
2.0376000000000123,283,2.059
2.0448000000000124,284,2.059
2.0520000000000125,285,2.061
2.0592000000000126,286,2.063
2.0664000000000127,287,2.063
2.0736000000000128,288,2.064
2.080800000000013,289,2.067
2.088000000000013,290,2.069
2.095200000000013,291,2.068
2.102400000000013,292,2.07
2.1096000000000132,293,2.072
2.1168000000000133,294,2.073
2.1240000000000134,295,2.076
2.1312000000000135,296,2.077
2.1384000000000136,297,2.079
2.1456000000000137,298,2.081
2.152800000000014,299,2.081
2.160000000000014,300,2.081
2.167200000000014,301,2.082
2.174400000000014,302,2.083
2.181600000000014,303,2.084
2.1888000000000143,304,2.084
2.1960000000000144,305,2.084
2.2032000000000145,306,2.083
2.2104000000000146,307,2.083
2.2176000000000147,308,2.083
2.2248000000000148,309,2.081
2.232000000000015,310,2.079
2.239200000000015,311,2.079
2.246400000000015,312,2.077
2.253600000000015,313,2.074
2.2608000000000152,314,2.072
2.2680000000000153,315,2.068
2.2752000000000154,316,2.065
2.2824000000000155,317,2.061
2.2896000000000156,318,2.054
2.2968000000000157,319,2.05
2.304000000000016,320,2.045
2.311200000000016,321,2.04
2.318400000000016,322,2.034
2.325600000000016,323,2.027
2.332800000000016,324,2.019
2.3400000000000163,325,2.014
2.3472000000000164,326,2.005
2.3544000000000165,327,1.995
2.3616000000000166,328,1.987
2.3688000000000167,329,1.978
2.3760000000000168,330,1.97
2.383200000000017,331,1.959
2.390400000000017,332,1.949
2.397600000000017,333,1.938
2.404800000000017,334,1.926
2.4120000000000172,335,1.915
2.4192000000000173,336,1.903
2.4264000000000174,337,1.89
2.4336000000000175,338,1.878
2.4408000000000176,339,1.864
2.4480000000000177,340,1.849
2.455200000000018,341,1.835
2.462400000000018,342,1.822
2.469600000000018,343,1.807
2.476800000000018,344,1.79
2.484000000000018,345,1.775
2.4912000000000183,346,1.76
2.4984000000000184,347,1.744
2.5056000000000185,348,1.725
2.5128000000000186,349,1.71
2.5200000000000187,350,1.693
2.5272000000000188,351,1.674
2.534400000000019,352,1.656
2.541600000000019,353,1.638
2.548800000000019,354,1.62
2.556000000000019,355,1.6
2.5632000000000192,356,1.583
2.5704000000000193,357,1.562
2.5776000000000194,358,1.543
2.5848000000000195,359,1.524
2.5920000000000196,360,1.503
