Time (seconds),Time (steps),Torque (N·m)
0.7127999999999992,99,-1379.119
0.7199999999999992,100,-1337.413
0.7271999999999992,101,-1294.334
0.7343999999999992,102,-1247.611
0.7415999999999991,103,-1198.184
0.7487999999999991,104,-1145.255
0.7559999999999991,105,-1090.164
0.7631999999999991,106,-1030.665
0.7703999999999991,107,-969.531
0.7775999999999991,108,-903.981
0.784799999999999,109,-835.349
0.791999999999999,110,-763.401
0.799199999999999,111,-687.185
0.806399999999999,112,-608.194
0.813599999999999,113,-524.603
0.820799999999999,114,-437.212
0.827999999999999,115,-345.076
0.8351999999999989,116,-249.043
0.8423999999999989,117,-147.966
0.8495999999999989,118,-43.002
0.8567999999999989,119,66.174
0.8639999999999989,120,180.456
0.8711999999999989,121,299.296
0.8783999999999988,122,422.438
0.8855999999999988,123,550.024
0.8927999999999988,124,681.178
0.8999999999999988,125,816.323
0.9071999999999988,126,955.381
0.9143999999999988,127,1098.917
0.9215999999999988,128,1245.238
0.9287999999999987,129,1392.393
0.9359999999999987,130,1542.749
0.9431999999999987,131,1694.481
0.9503999999999987,132,1846.2
0.9575999999999987,133,1996.997
0.9647999999999987,134,2148.203
0.9719999999999986,135,2294.241
0.9791999999999986,136,2437.861
0.9863999999999986,137,2578.847
0.9935999999999986,138,2711.491
1.0007999999999986,139,2843.237
1.0079999999999987,140,2961.897
1.0151999999999988,141,3076.383
1.0223999999999989,142,3180.6
1.029599999999999,143,3266.901
1.036799999999999,144,3351.74
1.0439999999999992,145,3409.542
1.0511999999999992,146,3476.938
1.0583999999999993,147,3519.497
1.0655999999999994,148,3538.621
1.0727999999999995,149,3556.296
1.0799999999999996,150,3553.534
1.0871999999999997,151,3548.147
1.0943999999999998,152,3539.476
1.1016,153,3494.783
1.1088,154,3455.884
1.116,155,3412.414
1.1232000000000002,156,3329.539
1.1304000000000003,157,3268.528
1.1376000000000004,158,3196.558
1.1448000000000005,159,3118.391
1.1520000000000006,160,3029.062
1.1592000000000007,161,2933.245
1.1664000000000008,162,2848.518
1.1736000000000009,163,2741.609
1.180800000000001,164,2622.707
1.188000000000001,165,2521.873
1.1952000000000012,166,2426.845
1.2024000000000012,167,2309.958
